Building ID,Latitude,Longitude,Address,Rooftop Area (sq ft),RTU Count,Meets Criteria
25314601,40.4487896,-80.0033629,"North Shore Garage, Cajou Way, North Shore, Pittsburgh, Allegheny County, Pennsylvania, 15222, United States",244571.85,0,No
25795368,40.4461061,-79.9510992,"Mellon Institute, 4400, Fifth Avenue, Schenley Farms Historic District, Bellefield, Pittsburgh, Allegheny County, Pennsylvania, 15213, United States",244571.85,0,No
25795426,40.4503283,-79.9544821,"North Dithridge Street, North Oakland, Pittsburgh, Allegheny County, Pennsylvania, 15213, United States",244571.85,0,No
27549961,40.4417275,-79.9462905,"Carnegie Mellon University, hamerschlag_outside, Squirrel Hill North, Pittsburgh, Allegheny County, Pennsylvania, 15213, United States",244571.85,0,No
27550292,40.4416748,-79.9473409,"Scaife Hall, 4805, Frew Street, Squirrel Hill North, Pittsburgh, Allegheny County, Pennsylvania, 15213, United States",244571.85,0,No
27551077,40.4424063,-79.9466861,"Carnegie Mellon University, hamerschlag_outside, Squirrel Hill North, Pittsburgh, Allegheny County, Pennsylvania, 15213, United States",244571.85,0,No
27551364,40.4426672,-79.9458097,"Wean Hall, 311, Hamerschlag Drive, Squirrel Hill North, Pittsburgh, Allegheny County, Pennsylvania, 15213, United States",244571.85,0,No
27551590,40.4433811,-79.9456033,"Newell-Simon Hall, 4804, Forbes Avenue, Squirrel Hill North, Pittsburgh, Allegheny County, Pennsylvania, 15213, United States",244571.85,0,No
27574204,40.4411099,-79.9437399,"Hunt Library, 4909, Frew Street, Squirrel Hill North, Pittsburgh, Allegheny County, Pennsylvania, 15213, United States",244571.85,0,No
27574237,40.4438035,-79.940033,"Carnegie Mellon University, hamerschlag_outside, Squirrel Hill North, Pittsburgh, Allegheny County, Pennsylvania, 15213, United States",244571.85,0,No
27574394,40.4434971,-79.9420715,"Carnegie Mellon University, hamerschlag_outside, Squirrel Hill North, Pittsburgh, Allegheny County, Pennsylvania, 15213, United States",244571.85,0,No
27574406,40.4435322,-79.9435399,"Carnegie Mellon University, hamerschlag_outside, Squirrel Hill North, Pittsburgh, Allegheny County, Pennsylvania, 15213, United States",244571.85,0,No
27574545,40.4425176,-79.9444955,"Doherty Hall, 281, Hamerschlag Drive, Squirrel Hill North, Pittsburgh, Allegheny County, Pennsylvania, 15213, United States",244571.85,0,No
27574704,40.444177,-79.9433907,"Carnegie Mellon University, hamerschlag_outside, Squirrel Hill North, Pittsburgh, Allegheny County, Pennsylvania, 15213, United States",244571.85,0,No
27574718,40.4442448,-79.9439766,"Carnegie Mellon University, hamerschlag_outside, Squirrel Hill North, Pittsburgh, Allegheny County, Pennsylvania, 15213, United States",244571.85,0,No
27590641,40.4424547,-79.9472199,"Carnegie Mellon University, hamerschlag_outside, Squirrel Hill North, Pittsburgh, Allegheny County, Pennsylvania, 15213, United States",244571.85,0,No
27590907,40.4415113,-79.9449499,"Carnegie Mellon University, hamerschlag_outside, Squirrel Hill North, Pittsburgh, Allegheny County, Pennsylvania, 15213, United States",244571.85,0,No
27590940,40.4433145,-79.946439,"Facilities Management Services Building, 233, Hamerschlag Drive, Squirrel Hill North, Pittsburgh, Allegheny County, Pennsylvania, 15213, United States",244571.85,0,No
27591069,40.4439742,-79.9465677,"Collaborative Innovation Center, 4720, Forbes Avenue, Squirrel Hill North, Pittsburgh, Allegheny County, Pennsylvania, 15213, United States",244571.85,0,No
27591096,40.4441757,-79.945548,"Hamburg Hall, 4800, Forbes Avenue, Squirrel Hill North, Pittsburgh, Allegheny County, Pennsylvania, 15213, United States",244571.85,0,No
